Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,Golden State Warriors,82,67,15,0.817,3946,9016,3410,7137,47.8,883,2217,39.8,1313,1709,76.8,853,2814,3667,2248,1185,762,496,293,1628,1541,828,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Houston Rockets,82,56,26,0.683,3961,8522,3032,6832,44.4,933,2680,34.8,1525,2133,71.5,958,2624,3582,1820,1366,777,407,437,1803,1730,282,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Los Angeles Clippers,82,56,26,0.683,3946,8751,3228,6830,47.3,827,2202,37.6,1468,2067,71.0,784,2711,3495,2031,1012,640,409,245,1749,1766,540,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Memphis Grizzlies,82,55,27,0.671,3981,8062,3097,6763,45.8,423,1246,33.9,1445,1869,77.3,856,2634,3490,1777,1094,700,347,424,1567,1662,266,,,,,,,,,,,,,,,,,,,,,,,,,,
4,San Antonio Spurs,82,55,27,0.671,3991,8461,3208,6854,46.8,677,1847,36.7,1368,1754,78.0,806,2772,3578,2000,1146,657,444,362,1564,1613,508,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Portland Trail Blazers,82,51,31,0.622,3971,8429,3175,7049,45.0,807,2231,36.2,1272,1589,80.1,879,2881,3760,1799,1117,525,372,297,1494,1534,347,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dallas Mavericks,82,50,32,0.61,3976,8628,3255,7036,46.3,732,2082,35.2,1386,1843,75.2,858,2608,3466,1846,1062,663,371,314,1644,1816,238,,,,,,,,,,,,,,,,,,,,,,,,,,
8,New Orleans Pelicans,82,45,37,0.549,3956,8147,3108,6795,45.7,586,1583,37.0,1345,1790,75.1,942,2621,3563,1806,1087,553,510,475,1530,1533,65,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oklahoma City Thunder,82,45,37,0.549,3966,8524,3184,7119,44.7,632,1864,33.9,1524,2020,75.4,1052,2844,3896,1681,1205,598,454,377,1829,1675,179,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Phoenix Suns,82,39,43,0.476,3976,8397,3178,7038,45.2,698,2048,34.1,1343,1767,76.0,896,2643,3539,1659,1238,700,385,337,1744,1664,-74,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Utah Jazz,82,38,44,0.463,3941,7801,2900,6492,44.7,610,1781,34.3,1391,1929,72.1,988,2617,3605,1632,1256,623,489,382,1583,1604,18,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Denver Nuggets,82,30,52,0.366,3976,8320,3099,7158,43.3,660,2032,32.5,1462,1991,73.4,1012,2653,3665,1788,1166,641,367,504,1882,1698,-291,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sacramento Kings,82,29,53,0.354,3971,8310,3010,6617,45.5,461,1350,34.1,1829,2400,76.2,895,2728,3623,1667,1333,550,324,508,1696,1958,-304,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Los Angeles Lakers,82,21,61,0.256,3986,8073,3054,7020,43.5,532,1546,34.4,1433,1935,74.1,952,2647,3599,1715,1086,578,366,396,1741,1589,-561,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Minnesota Timberwolves,82,16,66,0.195,3961,8016,2986,6820,43.8,406,1223,33.2,1638,2110,77.6,949,2406,3355,1771,1231,668,327,449,1571,1751,-721,,,,,,,,,,,,,,,,,,,,,,,,,,
