Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,Phoenix Suns,82,64,18,0.78,3946,9416,3581,7389,48.5,951,2616,36.4,1303,1635,79.7,801,2913,3714,2244,1060,702,359,327,1633,1553,615,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Memphis Grizzlies,82,56,26,0.683,3956,9480,3571,7739,46.1,945,2679,35.3,1393,1898,73.4,1159,2873,4032,2131,1082,800,533,496,1620,1625,466,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Golden State Warriors,82,53,29,0.646,3946,9102,3323,7087,46.9,1176,3231,36.4,1280,1665,76.9,800,2930,3730,2223,1221,719,372,317,1723,1474,454,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dallas Mavericks,82,52,30,0.634,3951,8858,3222,6982,46.1,1073,3063,35.0,1341,1739,77.1,759,2769,3528,1918,1025,552,325,300,1612,1645,271,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Utah Jazz,82,49,33,0.598,3946,9316,3327,7067,47.1,1192,3308,36.0,1470,1916,76.7,884,2916,3800,1836,1148,588,402,352,1547,1664,495,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Denver Nuggets,82,48,34,0.585,3961,9243,3416,7079,48.3,1039,2944,35.3,1372,1725,79.5,752,2865,3617,2279,1189,592,305,392,1639,1632,189,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Minnesota Timberwolves,82,46,36,0.561,3956,9507,3411,7458,45.7,1211,3386,35.8,1474,1894,77.8,921,2700,3621,2106,1175,721,460,397,1786,1715,216,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LA Clippers,82,42,40,0.512,3956,8890,3285,7170,45.8,1047,2802,37.4,1273,1606,79.3,747,2860,3607,1969,1126,608,406,339,1528,1515,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,New Orleans Pelicans,82,36,46,0.439,3951,8962,3294,7212,45.7,873,2629,33.2,1501,1903,78.9,981,2726,3707,2047,1153,680,328,391,1612,1681,-81,,,,,,,,,,,,,,,,,,,,,,,,,,
10,San Antonio Spurs,82,34,48,0.415,3961,9279,3546,7601,46.7,925,2626,35.2,1262,1673,75.4,901,2815,3716,2289,1043,626,403,403,1483,1553,10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Los Angeles Lakers,82,33,49,0.402,3996,9192,3415,7279,46.9,982,2826,34.7,1380,1884,73.2,782,2826,3608,1968,1191,626,425,338,1654,1647,-250,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sacramento Kings,82,30,52,0.366,3961,9045,3321,7223,46.0,937,2722,34.4,1466,1908,76.8,784,2737,3521,1943,1156,588,369,395,1552,1665,-448,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Portland Trail Blazers,82,27,55,0.329,3946,8711,3161,7144,44.2,1043,3017,34.6,1346,1771,76.0,854,2661,3515,1880,1187,657,366,409,1728,1589,-728,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Oklahoma City Thunder,82,24,58,0.293,3961,8506,3141,7310,43.0,991,3066,32.3,1233,1632,75.6,854,2887,3741,1822,1145,622,380,490,1497,1462,-664,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Houston Rockets,82,20,62,0.244,3951,8997,3229,7083,45.6,1105,3170,34.9,1434,2010,71.3,786,2660,3446,1932,1351,600,382,474,1692,1812,-695,,,,,,,,,,,,,,,,,,,,,,,,,,
