Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,Utah Jazz,72,52,20,0.722,3471,8382,2971,6344,46.8,1205,3098,38.9,1235,1546,79.9,765,2709,3474,1703,1023,474,371,282,1335,1365,666,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Phoenix Suns,72,51,21,0.708,3496,8300,3118,6357,49.0,940,2490,37.8,1124,1347,83.4,630,2462,3092,1939,902,517,312,258,1374,1294,419,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Denver Nuggets,72,47,25,0.653,3496,8284,3114,6422,48.5,927,2462,37.7,1129,1406,80.3,758,2442,3200,1933,972,582,323,325,1374,1379,355,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LA Clippers,72,47,25,0.653,3456,8209,3009,6242,48.2,1027,2498,41.1,1164,1387,83.9,678,2501,3179,1756,949,509,295,304,1383,1303,445,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dallas Mavericks,72,42,30,0.583,3461,8096,2958,6287,47.0,994,2744,36.2,1186,1524,77.8,657,2463,3120,1647,869,450,311,264,1396,1446,163,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Los Angeles Lakers,72,42,30,0.583,3491,7887,2925,6197,47.2,796,2248,35.4,1241,1679,73.9,695,2490,3185,1775,1095,562,386,327,1377,1530,201,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Portland Trail Blazers,72,42,30,0.583,3461,8360,2973,6558,45.3,1132,2939,38.5,1282,1558,82.3,766,2441,3207,1531,799,496,363,333,1362,1374,129,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Golden State Warriors,72,39,33,0.542,3461,8187,2973,6347,46.8,1048,2789,37.6,1193,1520,78.5,574,2524,3098,1991,1080,587,342,312,1526,1406,76,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Memphis Grizzlies,72,38,34,0.528,3481,8157,3085,6608,46.7,803,2258,35.6,1184,1536,77.1,803,2543,3346,1938,957,655,364,377,1349,1318,74,,,,,,,,,,,,,,,,,,,,,,,,,,
10,San Antonio Spurs,72,33,39,0.458,3496,7998,3014,6518,46.2,716,2046,35.0,1254,1584,79.2,669,2489,3158,1759,821,505,366,369,1293,1338,-125,,,,,,,,,,,,,,,,,,,,,,,,,,
11,New Orleans Pelicans,72,31,41,0.431,3486,8251,3060,6412,47.7,762,2190,34.8,1369,1878,72.9,845,2568,3413,1872,1052,545,315,426,1295,1534,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sacramento Kings,72,31,41,0.431,3461,8189,3067,6382,48.1,874,2400,36.4,1181,1585,74.5,674,2307,2981,1836,963,543,358,336,1400,1348,-265,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Minnesota Timberwolves,72,23,49,0.319,3481,8073,2932,6546,44.8,944,2706,34.9,1265,1662,76.1,757,2376,3133,1846,1027,632,398,398,1507,1432,-400,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Oklahoma City Thunder,72,22,50,0.306,3471,7560,2795,6338,44.1,857,2529,33.9,1113,1536,72.5,715,2568,3283,1588,1162,504,316,378,1305,1336,-766,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Houston Rockets,72,17,55,0.236,3461,7833,2826,6372,44.4,992,2923,33.9,1189,1606,74.0,671,2396,3067,1699,1060,546,361,378,1407,1388,-569,,,,,,,,,,,,,,,,,,,,,,,,,,
