Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,Golden State Warriors,82,67,15,0.817,3956,9503,3532,7140,49.5,982,2562,38.3,1457,1850,78.8,770,2873,3643,2491,1211,785,555,313,1585,1588,954,,,,,,,,,,,,,,,,,,,,,,,,,,
2,San Antonio Spurs,82,61,21,0.744,3961,8637,3222,6864,46.9,753,1927,39.1,1440,1806,79.7,821,2777,3598,1954,1101,655,484,333,1498,1623,590,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Houston Rockets,82,55,27,0.671,3956,9458,3305,7152,46.2,1181,3306,35.7,1667,2177,76.6,892,2746,3638,2070,1240,670,352,409,1634,1674,473,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LA Clippers,82,51,31,0.622,3951,8911,3242,6820,47.5,841,2245,37.5,1586,2128,74.5,738,2790,3528,1848,1062,612,347,258,1626,1835,352,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Utah Jazz,82,51,31,0.622,3951,8258,3033,6515,46.6,791,2128,37.2,1401,1875,74.7,771,2774,3545,1651,1118,550,410,312,1545,1655,323,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Oklahoma City Thunder,82,47,35,0.573,3961,8741,3237,7169,45.2,692,2116,32.7,1575,2113,74.5,1002,2821,3823,1721,1230,648,408,450,1715,1697,62,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Memphis Grizzlies,82,43,39,0.524,3981,8239,2984,6854,43.5,767,2169,35.4,1504,1918,78.4,886,2621,3507,1744,1059,653,344,410,1840,1708,40,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Portland Trail Blazers,82,41,41,0.5,3986,8851,3243,7059,45.9,852,2272,37.5,1513,1940,78.0,830,2750,3580,1733,1126,574,408,431,1736,1624,-43,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Denver Nuggets,82,40,42,0.488,3951,9161,3377,7194,46.9,870,2365,36.8,1537,1986,77.4,966,2837,3803,2077,1226,568,323,404,1567,1653,42,,,,,,,,,,,,,,,,,,,,,,,,,,
10,New Orleans Pelicans,82,34,48,0.415,3981,8556,3210,7130,45.0,768,2196,35.0,1368,1825,75.0,703,2879,3582,1869,1054,638,453,348,1490,1581,-172,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dallas Mavericks,82,33,49,0.402,3956,8029,2968,6750,44.0,878,2473,35.5,1215,1516,80.1,647,2516,3163,1705,972,614,307,280,1567,1591,-240,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sacramento Kings,82,32,50,0.39,3976,8430,3105,6734,46.1,737,1960,37.6,1483,1913,77.5,715,2652,3367,1844,1201,627,324,420,1667,1646,-318,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Minnesota Timberwolves,82,31,51,0.378,3961,8657,3235,6922,46.7,601,1723,34.9,1586,1986,79.9,938,2540,3478,1940,1150,654,370,413,1646,1681,-91,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Los Angeles Lakers,82,26,56,0.317,3941,8575,3224,7164,45.0,730,2110,34.6,1397,1853,75.4,933,2636,3569,1716,1243,674,320,440,1698,1520,-564,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Phoenix Suns,82,24,58,0.293,3966,8831,3270,7260,45.0,615,1854,33.2,1676,2159,77.6,976,2712,3688,1604,1265,673,399,435,2030,1822,-462,,,,,,,,,,,,,,,,,,,,,,,,,,
