Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,Golden State Warriors,82,73,9,0.89,3976,9421,3489,7159,48.7,1077,2592,41.6,1366,1790,76.3,816,2972,3788,2373,1245,689,498,336,1701,1627,882,,,,,,,,,,,,,,,,,,,,,,,,,,
2,San Antonio Spurs,82,67,15,0.817,3941,8490,3289,6797,48.4,570,1518,37.5,1342,1672,80.3,770,2831,3601,2010,1071,677,485,317,1433,1597,872,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oklahoma City Thunder,82,55,27,0.671,3966,9038,3372,7082,47.6,678,1945,34.9,1616,2067,78.2,1071,2916,3987,1883,1305,603,487,373,1691,1653,597,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LA Clippers,82,53,29,0.646,3966,8569,3141,6759,46.5,797,2190,36.4,1490,2152,69.2,721,2727,3448,1873,1063,709,460,259,1746,1842,351,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Portland Trail Blazers,82,44,38,0.537,3961,8622,3167,7040,45.0,864,2336,37.0,1424,1889,75.4,948,2782,3730,1748,1200,562,380,424,1782,1597,68,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dallas Mavericks,82,42,40,0.512,4001,8388,3064,6900,44.4,806,2342,34.4,1454,1831,79.4,751,2781,3532,1813,1047,560,306,363,1595,1757,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Memphis Grizzlies,82,42,40,0.512,3966,8126,3019,6859,44.0,504,1521,33.1,1584,2024,78.3,916,2497,3413,1697,1090,724,350,469,1783,1732,-184,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Houston Rockets,82,41,41,0.5,3966,8737,3094,6847,45.2,878,2533,34.7,1671,2407,69.4,930,2601,3531,1821,1307,821,430,404,1790,1847,16,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Utah Jazz,82,40,42,0.488,3991,8010,2957,6593,44.9,694,1956,35.5,1402,1885,74.4,880,2665,3545,1554,1224,631,425,385,1655,1629,147,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Denver Nuggets,82,33,49,0.402,3966,8355,3093,7003,44.2,656,1943,33.8,1513,1974,76.6,941,2718,3659,1858,1202,609,395,517,1723,1712,-254,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sacramento Kings,82,33,49,0.402,3961,8740,3283,7083,46.4,660,1839,35.9,1514,2089,72.5,868,2760,3628,2009,1326,733,368,437,1676,1800,-203,,,,,,,,,,,,,,,,,,,,,,,,,,
12,New Orleans Pelicans,82,30,52,0.366,3956,8423,3153,7040,44.8,702,1951,36.0,1415,1823,77.6,782,2712,3494,1818,1102,633,342,423,1713,1630,-311,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Minnesota Timberwolves,82,29,53,0.354,3976,8398,3095,6668,46.4,455,1347,33.8,1753,2213,79.2,821,2587,3408,1916,1231,656,375,427,1696,1768,-290,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Phoenix Suns,82,23,59,0.28,3941,8271,3051,7018,43.5,738,2118,34.8,1431,1905,75.1,943,2733,3676,1701,1410,632,313,449,1858,1770,-546,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Los Angeles Lakers,82,17,65,0.207,3946,7982,2880,6956,41.4,639,2016,31.7,1583,2028,78.1,878,2645,3523,1478,1124,593,337,458,1662,1573,-784,,,,,,,,,,,,,,,,,,,,,,,,,,
