Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,San Antonio Spurs,82,62,20,0.756,3951,8639,3326,6844,48.6,698,1757,39.7,1289,1642,78.5,762,2786,3548,2064,1180,604,420,379,1495,1585,633,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oklahoma City Thunder,82,59,23,0.72,3961,8705,3194,6782,47.1,664,1839,36.1,1653,2052,80.6,887,2781,3668,1794,1256,678,501,296,1858,1672,520,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Los Angeles Clippers,82,57,25,0.695,3951,8850,3208,6761,47.4,693,1966,35.2,1741,2384,73.0,858,2668,3526,2016,1136,703,397,284,1767,1919,572,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Houston Rockets,82,54,28,0.659,3966,8829,3118,6603,47.2,779,2179,35.8,1814,2549,71.2,920,2797,3717,1755,1323,621,461,460,1676,1993,374,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Portland Trail Blazers,82,54,28,0.659,3971,8753,3207,7134,45.0,770,2071,37.2,1569,1926,81.5,1022,2786,3808,1904,1125,454,387,304,1576,1698,327,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Golden State Warriors,82,51,31,0.622,3966,8549,3236,7005,46.2,774,2037,38.0,1303,1731,75.3,896,2819,3715,1912,1247,642,407,342,1784,1584,394,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Memphis Grizzlies,82,50,32,0.61,3961,7884,3122,6723,46.4,405,1147,35.3,1235,1666,74.1,950,2526,3476,1792,1124,631,375,410,1568,1553,129,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dallas Mavericks,82,49,33,0.598,3966,8597,3249,6858,47.4,721,1877,38.4,1378,1733,79.5,840,2514,3354,1935,1110,704,356,288,1636,1633,197,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Phoenix Suns,82,48,34,0.585,3951,8629,3172,6845,46.3,765,2055,37.2,1520,2004,75.8,928,2601,3529,1563,1258,688,374,332,1798,1749,216,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Minnesota Timberwolves,82,40,42,0.488,3971,8768,3189,7175,44.4,600,1757,34.1,1790,2301,77.8,1024,2644,3668,1963,1142,718,297,457,1504,1936,219,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Denver Nuggets,82,36,46,0.439,3951,8559,3147,7042,44.7,702,1959,35.8,1563,2154,72.6,1009,2717,3726,1838,1305,615,459,459,1890,1778,-176,,,,,,,,,,,,,,,,,,,,,,,,,,
12,New Orleans Pelicans,82,34,48,0.415,3971,8177,3101,6761,45.9,486,1303,37.3,1489,1936,76.9,933,2486,3419,1745,1129,647,523,504,1857,1664,-222,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sacramento Kings,82,28,54,0.341,3966,8241,3026,6766,44.7,491,1475,33.3,1698,2237,75.9,990,2656,3646,1547,1249,587,318,459,1849,1897,-238,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Los Angeles Lakers,82,27,55,0.329,3941,8442,3139,6980,45.0,774,2032,38.1,1390,1835,75.7,745,2620,3365,2006,1239,611,446,387,1627,1580,-516,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Utah Jazz,82,25,57,0.305,3956,7791,2951,6652,44.4,543,1577,34.4,1346,1803,74.7,904,2477,3381,1664,1200,570,366,401,1699,1673,-588,,,,,,,,,,,,,,,,,,,,,,,,,,
