Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,Houston Rockets,82,65,17,0.793,3951,9213,3174,6906,46.0,1256,3470,36.2,1609,2061,78.1,739,2825,3564,1767,1135,699,392,363,1597,1670,695,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Golden State Warriors,82,58,24,0.707,3946,9304,3509,6979,50.3,926,2369,39.1,1360,1668,81.5,691,2877,3568,2402,1265,656,612,300,1607,1516,490,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Portland Trail Blazers,82,49,33,0.598,3951,8661,3222,7132,45.2,845,2308,36.6,1372,1715,80.0,835,2893,3728,1599,1109,573,423,418,1599,1564,213,,,,,,,,,,,,,,,,,,,,,,,,,,
4,New Orleans Pelicans,82,48,34,0.585,3991,9161,3500,7241,48.3,837,2312,36.2,1324,1716,77.2,712,2923,3635,2195,1223,657,485,344,1570,1669,107,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oklahoma City Thunder,82,48,34,0.585,3966,8844,3271,7221,45.3,881,2491,35.4,1421,1985,71.6,1024,2671,3695,1750,1147,743,412,377,1653,1750,280,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Utah Jazz,82,48,34,0.585,3951,8540,3139,6797,46.2,887,2425,36.6,1375,1766,77.9,740,2807,3547,1839,1205,708,420,380,1608,1683,353,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Minnesota Timberwolves,82,47,35,0.573,3961,8980,3365,7063,47.6,658,1845,35.7,1592,1980,80.4,848,2593,3441,1861,1021,689,345,382,1495,1710,183,,,,,,,,,,,,,,,,,,,,,,,,,,
7,San Antonio Spurs,82,47,35,0.573,3946,8424,3202,6999,45.7,696,1977,35.2,1324,1715,77.2,849,2777,3626,1868,1078,628,460,318,1408,1619,237,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Denver Nuggets,82,46,36,0.561,3976,9020,3338,7102,47.0,940,2536,37.1,1404,1830,76.7,902,2748,3650,2059,1226,627,404,391,1533,1699,121,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LA Clippers,82,42,40,0.512,3941,8937,3302,7004,47.1,777,2196,35.4,1556,2095,74.3,832,2766,3598,1832,1204,628,372,462,1638,1803,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Los Angeles Lakers,82,35,47,0.427,3981,8862,3338,7248,46.1,822,2384,34.5,1364,1910,71.4,876,2927,3803,1949,1295,633,388,447,1736,1679,-127,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sacramento Kings,82,27,55,0.329,3951,8104,3179,7063,45.0,738,1967,37.5,1008,1371,73.5,776,2578,3354,1768,1125,643,340,389,1639,1422,-573,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Dallas Mavericks,82,24,58,0.293,3961,8390,3128,7042,44.4,967,2688,36.0,1167,1530,76.3,666,2717,3383,1858,1007,578,310,369,1578,1604,-249,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Memphis Grizzlies,82,22,60,0.268,3941,8145,3013,6788,44.4,758,2152,35.2,1361,1732,78.6,779,2544,3323,1767,1227,613,396,421,1900,1674,-509,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Phoenix Suns,82,21,61,0.256,3941,8522,3153,7141,44.2,763,2286,33.4,1453,1962,74.1,842,2776,3618,1743,1289,569,370,488,1807,1715,-768,,,,,,,,,,,,,,,,,,,,,,,,,,
