Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
1,Golden State Warriors,82,57,25,0.695,3961,9650,3612,7361,49.1,1087,2824,38.5,1339,1672,80.1,797,2990,3787,2413,1169,625,525,295,1757,1601,530,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Denver Nuggets,82,54,28,0.659,3946,9075,3439,7384,46.6,903,2571,35.1,1294,1714,75.5,972,2832,3804,2245,1102,634,363,407,1644,1675,324,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Houston Rockets,82,53,29,0.646,3966,9341,3218,7163,44.9,1323,3721,35.6,1582,2001,79.1,836,2613,3449,1741,1094,700,405,369,1803,1640,391,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Portland Trail Blazers,82,53,29,0.646,3971,9402,3470,7427,46.7,904,2520,35.9,1558,1914,81.4,967,2968,3935,1887,1135,546,413,420,1669,1699,344,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Utah Jazz,82,50,32,0.61,3951,9161,3314,7082,46.8,993,2789,35.6,1540,2092,73.6,820,2981,3801,2133,1240,663,483,376,1728,1835,431,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Oklahoma City Thunder,82,49,33,0.598,3971,9387,3497,7706,45.4,932,2677,34.8,1461,2049,71.3,1031,2911,3942,1917,1145,766,425,415,1839,1844,279,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LA Clippers,82,48,34,0.585,3966,9442,3384,7178,47.1,821,2118,38.8,1853,2340,79.2,796,2936,3732,1970,1193,561,385,498,1913,1969,70,,,,,,,,,,,,,,,,,,,,,,,,,,
7,San Antonio Spurs,82,48,34,0.585,3961,9156,3468,7248,47.8,812,2071,39.2,1408,1720,81.9,757,2910,3667,2013,992,501,386,332,1487,1611,138,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sacramento Kings,82,39,43,0.476,3946,9363,3541,7637,46.4,927,2455,37.8,1354,1865,72.6,906,2819,3725,2083,1095,679,363,420,1751,1753,-92,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Los Angeles Lakers,82,37,45,0.451,3956,9165,3491,7425,47.0,847,2541,33.3,1336,1910,69.9,835,2985,3820,2096,1284,618,440,421,1701,1706,-141,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Minnesota Timberwolves,82,36,46,0.439,3966,9223,3413,7483,45.6,827,2357,35.1,1570,1995,78.7,923,2750,3673,2018,1074,683,411,455,1664,1795,-123,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Dallas Mavericks,82,33,49,0.402,3956,8927,3182,7122,44.7,1022,3002,34.0,1541,2076,74.2,832,2884,3716,1918,1167,533,351,368,1650,1905,-105,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Memphis Grizzlies,82,33,49,0.402,3976,8490,3113,6924,45.0,811,2368,34.2,1453,1882,77.2,723,2703,3426,1963,1147,684,448,402,1801,1758,-213,,,,,,,,,,,,,,,,,,,,,,,,,,
12,New Orleans Pelicans,82,33,49,0.402,3951,9466,3581,7563,47.3,842,2449,34.4,1462,1921,76.1,909,2969,3878,2216,1215,610,441,445,1732,1722,-109,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Phoenix Suns,82,19,63,0.232,3976,8815,3289,7164,45.9,790,2400,32.9,1447,1858,77.9,748,2563,3311,1957,1279,735,418,411,1932,1694,-766,,,,,,,,,,,,,,,,,,,,,,,,,,
